batch_rank,research_score,review_tier,priority_rank,ticker,company,exchange,market_cap_usd,market_cap_bucket,sector,priority_method,filer_category,last_annual,recommended_categories,cik,existing_catalog_match,existing_leader_count,existing_leader_names,existing_x_handles,source_research_priority,discovery_mode,target_roles,executive_name,executive_role,role_status,role_source_url,x_handle,x_check_type,x_identity_status,x_identity_source_url,x_activity_status,x_last_activity_at,sp500_member,nasdaq100_member,confidence,review_status,review_notes
1,91,A,1,NVDA,Nvidia,NASDAQ,5383600000000,mega_500b_plus,科技,market_cap,,,上市公司|NASDAQ|科技,0001045810,yes,1,Jensen Huang,JensenHuang,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
2,91,A,2,AAPL,Apple Inc.,NASDAQ,4936900000000,mega_500b_plus,科技,market_cap,,,上市公司|NASDAQ|科技,0000320193,yes,1,Tim Cook,tim_cook,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
3,91,A,4,MSFT,Microsoft,NASDAQ,3668000000000,mega_500b_plus,科技,market_cap,,,上市公司|NASDAQ|科技,0000789019,yes,2,Satya Nadella|Mustafa Suleyman,satyanadella|mustafasuleyman,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
4,91,A,7,AVGO,Broadcom,NASDAQ,1701400000000,mega_500b_plus,科技,market_cap,,,上市公司|NASDAQ|科技,0001730168,yes,1,Hock Tan,Broadcom,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
5,91,A,10,MU,Micron Technology,NASDAQ,1147200000000,mega_500b_plus,科技,market_cap,,,上市公司|NASDAQ|科技,0000723125,yes,2,Sanjay Mehrotra|Kevin Rose,MicronTech|kevinrose,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
6,91,A,14,AMD,Advanced Micro Devices,NASDAQ,912800000000,mega_500b_plus,科技,market_cap,,,上市公司|NASDAQ|科技,0000002488,yes,1,Lisa Su,LisaSu,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
7,91,A,19,INTC,Intel,NASDAQ,545800000000,mega_500b_plus,科技,market_cap,,,上市公司|NASDAQ|科技,0000050863,yes,4,Ilya Sutskever|Alexandr Wang|Pat Gelsinger|Lip-Bu Tan,ilyasut|alexandr_wang|PGelsinger|LipBuTan1,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
8,89,A,3,GOOGL,Alphabet Inc. (Class A),NASDAQ,4227600000000,mega_500b_plus,通信服务,market_cap,,,上市公司|NASDAQ|通信服务,0001652044,yes,4,Sundar Pichai|Demis Hassabis|Neal Mohan|Jeff Dean,sundarpichai|demishassabis|nealmohan|JeffDean,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
9,89,A,8,META,Meta Platforms,NASDAQ,1690000000000,mega_500b_plus,通信服务,market_cap,,,上市公司|NASDAQ|通信服务,0001326801,yes,4,Alexandr Wang|Mark Zuckerberg|Adam Mosseri|Andrew Bosworth,alexandr_wang|finkd|mosseri|boztank,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
10,89,A,23,ORCL,Oracle Corporation,NYSE,425200000000,large_100_500b,科技,market_cap,,,上市公司|NYSE|科技|云计算|软件,0001341439,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
