priority_rank,ticker,company,exchange,market_cap_usd,sector,cik,priority_method,filer_category,last_annual,existing_catalog_match,existing_leader_count,existing_leader_ids,existing_leader_names,existing_x_handles,research_priority,discovery_mode,target_roles,executive_name,executive_role,role_status,role_source_url,x_handle,x_check_type,x_identity_status,x_identity_source_url,x_activity_status,x_last_activity_at,recommended_categories,sp500_member,nasdaq100_member,confidence,review_status,review_notes
1,NVDA,Nvidia,NASDAQ,5383600000000,科技,0001045810,market_cap,,,yes,3,huang|bryan-catanzaro-nvda|jim-fan-nvda,Jensen Huang|Bryan Catanzaro|Jim Fan,JensenHuang|ctnzr|DrJimFan,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
2,AAPL,Apple Inc.,NASDAQ,4936900000000,科技,0000320193,market_cap,,,yes,4,cook|steve-wozniak-aapl|phil-schiller-aapl|greg-joswiak-aapl,Tim Cook|Steve Wozniak|Phil Schiller|Greg Joswiak,tim_cook|stevewoz|pschiller|gregjoz,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
3,GOOGL,Alphabet Inc. (Class A),NASDAQ,4227600000000,通信服务,0001652044,market_cap,,,yes,11,pichai|hassabis|mohan|jeff-dean|thomas-kurian-googl|marissa-mayer-googl|sameer-samat-googl|assaf-rappaport-googl|ami-luttwak-googl|shane-legg-googl|sarah-drasner-googl,Sundar Pichai|Demis Hassabis|Neal Mohan|Jeff Dean|Thomas Kurian|Marissa Mayer|Sameer Samat|Assaf Rappaport|Ami Luttwak|Shane Legg|Sarah Drasner,sundarpichai|demishassabis|nealmohan|JeffDean|ThomasOrTK|marissamayer|ssamat|assaf_rapp|amiluttwak|ShaneLegg|sarah_edo,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
4,MSFT,Microsoft,NASDAQ,3668000000000,科技,0000789019,market_cap,,,yes,12,nadella|suleyman|bill-gates-msft|steve-ballmer-msft|brad-smith-msft|steven-sinofsky-msft|pavan-davuluri-msft|judson-althoff-msft|phil-spencer-msft|kevin-scott-msft|scott-guthrie-msft|sebastien-bubeck-private,Satya Nadella|Mustafa Suleyman|Bill Gates|Steve Ballmer|Brad Smith|Steven Sinofsky|Pavan Davuluri|Judson Althoff|Phil Spencer|Kevin Scott|Scott Guthrie|Sebastien Bubeck,satyanadella|mustafasuleyman|BillGates|Steven_Ballmer|BradSmi|stevesi|pavandavuluri|judsonalthoff|XboxP3|kevin_scott|scottgu|SebastienBubeck,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
5,AMZN,Amazon,NASDAQ,2729200000000,可选消费,0001018724,market_cap,,,yes,8,bezos|jassy|vogels|panos-panay-amzn|jeff-wilke-amzn|dave-clark-amzn|matt-garman-amzn|swami-sivasubramanian-amzn,Jeff Bezos|Andy Jassy|Werner Vogels|Panos Panay|Jeff Wilke|Dave Clark|Matt Garman|Swami Sivasubramanian,JeffBezos|ajassy|Werner|panos_panay|jeffawilke|davehclark|MattSGarman|SwamiSivasubram,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
6,SPCX,SpaceX,NASDAQ,2011200000000,工业,0001181412,market_cap,,,yes,1,musk,Elon Musk,elonmusk,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
7,AVGO,Broadcom,NASDAQ,1701400000000,科技,0001730168,market_cap,,,yes,2,hock-tan|raghu-raghuram-avgo,Hock Tan|Raghu Raghuram,Broadcom|RaghuRaghuram,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
8,META,Meta Platforms,NASDAQ,1690000000000,通信服务,0001326801,market_cap,,,yes,6,alexandr-wang|zuckerberg|mosseri|boz|mike-schroepfer-meta|mike-krieger-meta,Alexandr Wang|Mark Zuckerberg|Adam Mosseri|Andrew Bosworth|Mike Schroepfer|Mike Krieger,alexandr_wang|finkd|mosseri|boztank|schrep|mikeyk,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
9,TSLA,"Tesla, Inc.",NASDAQ,1368100000000,可选消费,0001318605,market_cap,,,yes,1,musk,Elon Musk,elonmusk,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
10,MU,Micron Technology,NASDAQ,1147200000000,科技,0000723125,market_cap,,,yes,2,mehrotra|balaji-srinivasan-private,Sanjay Mehrotra|Balaji Srinivasan,MicronTech|balajis,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,,expand_existing,
